ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaC04g19520D		0		0		0		0		0		0
BnaC04g19530D		1		0		0		0		0		0
BnaC04g19540D		0		0		2		2		1		0
BnaC04g19550D		14		2		7		3		2		7
BnaC04g19560D		0		0		0		0		0		0
BnaC04g19570D		0		0		0		0		0		2
BnaC04g19580D		0		0		0		0		1		0
BnaC04g19590D		79		399		62		40		66		85
BnaC04g19600D		44		67		30		25		19		25
BnaC04g19610D		0		0		0		0		0		0
BnaC04g19620D		0		0		0		0		0		0
BnaC04g19630D		11		40		21		6		10		24
BnaC04g19640D		0		0		0		0		0		0
BnaC04g19650D		0		0		0		0		0		0
BnaC04g19660D		0		0		0		0		0		0
BnaC04g19670D		0		2		0		1		0		0
BnaC04g19680D		29		0		0		0		11		18
BnaC04g19690D		0		0		0		0		0		0
BnaC04g19700D		23		27		21		24		13		15
BnaC04g19710D		10		2		1		0		0		1
BnaC04g19720D		0		0		0		0		0		0
BnaC04g19730D		0		0		0		0		0		0
BnaC04g19740D		0		0		0		0		0		0
BnaC04g19750D		0		0		0		0		0		0
BnaC04g19760D		0		0		0		0		0		0
BnaC04g19770D		0		0		0		0		0		0
BnaC04g19780D		0		0		0		1		0		0
BnaC04g19790D		0		0		1		0		0		2
BnaC04g19800D		1		0		0		0		0		0
BnaC04g19810D		0		0		0		0		0		0
BnaC04g19820D		30		1		25		42		22		35
BnaC04g19830D		1		0		0		0		0		0
BnaC04g19840D		0		0		0		0		0		0
BnaC04g19850D		0		0		0		0		0		0
BnaC04g19860D		0		0		0		0		0		0
BnaC04g19870D		2		2		0		2		0		1
BnaC04g19880D		0		0		0		0		1		0
BnaC04g19890D		7		46		4		2		7		4
BnaC04g19900D		0		0		0		0		0		0
BnaC03g55000D		0		0		0		0		0		0
BnaC03g54990D		0		2		1		0		0		0
BnaC03g54980D		245		198		123		80		116		154
BnaC03g54970D		2		0		0		1		0		0
BnaC03g54960D		81		131		95		56		75		94
BnaC03g54950D		136		68		168		126		84		144
BnaC03g54940D		72		59		27		6		25		40
BnaC03g54930D		10		3		5		7		8		4
BnaC03g54920D		0		0		1		0		0		0
BnaC03g54910D		290		393		124		59		266		380
BnaC03g54900D		43		4		0		2		2		22
BnaC03g54890D		1		3		1		1		0		0
BnaC03g54880D		0		0		0		0		0		0
BnaC03g54870D		0		0		0		0		0		0
BnaC03g54860D		0		0		0		0		0		0
BnaC03g54850D		0		0		0		0		0		0
BnaC03g54840D		63		41		27		29		24		40
BnaC03g54830D		0		0		0		0		0		0
BnaC03g54820D		0		0		0		0		0		0
BnaC03g54810D		10		7		33		23		26		23
BnaC03g54800D		0		0		0		0		0		0
BnaC03g54790D		0		0		0		0		0		0
BnaC03g54780D		57		99		70		45		29		50
BnaC03g54770D		0		0		0		0		0		0
BnaC03g54760D		2		2		2		0		1		0
BnaC03g54750D		1		0		0		0		0		0
BnaC03g54740D		76		49		100		63		93		113
BnaC03g54730D		2		0		0		0		0		0
BnaC03g54720D		29		10		13		12		14		21
BnaC03g54710D		0		1		0		1		0		1
BnaC03g54700D		0		0		0		0		0		0
BnaC03g54690D		0		0		0		0		0		0
BnaC03g54680D		0		0		1		1		1		0
BnaC03g54670D		0		1		0		0		0		0
BnaC03g54660D		76		70		130		99		92		102
BnaA06g25070D		2592		1005		1993		1571		1841		1773
BnaA06g25060D		1		2		0		1		3		1
BnaA06g25050D		47		35		15		17		13		21
BnaA06g25040D		206		206		86		82		117		171
BnaA06g25030D		504		475		123		105		259		289
BnaA06g25020D		864		328		149		121		310		411
BnaA06g25010D		90		136		175		126		134		160
BnaA06g25000D		20		68		28		15		8		12
BnaA06g24990D		238		333		287		169		238		250
BnaA06g24980D		30		13		24		7		21		38
BnaA06g24970D		109		86		58		32		44		62
BnaA06g24960D		215		164		161		117		117		147
BnaA06g24950D		77		74		36		34		34		47
BnaA06g24940D		112		546		668		673		124		174
BnaA06g24930D		11		4		12		16		5		18
BnaA06g24920D		51		40		24		13		25		44
BnaA06g24910D		19		83		80		129		37		38
BnaA06g24900D		148		194		226		145		120		172
BnaA06g24890D		5		3		12		8		11		10
BnaA06g24880D		36		8		14		15		29		45
BnaA06g24870D		4		0		1		2		3		4
BnaA06g24860D		0		0		0		0		0		0
BnaA06g24850D		162		217		158		125		138		141
BnaA06g24840D		180		160		280		179		218		292
BnaA06g24830D		905		454		465		459		547		778
BnaA06g24820D		129		273		146		97		200		220
BnaA06g24810D		2		0		0		0		1		0
BnaA06g24800D		57		40		37		34		40		38
BnaA06g24790D		193		89		60		33		101		108
BnaA06g24780D		36		28		21		25		43		61
BnaA06g24770D		1		2		0		0		1		1
BnaA06g24760D		6		3		13		6		5		2
BnaA06g24750D		1		2		3		8		8		12
BnaA06g24740D		47		12		20		10		51		71
BnaA06g24730D		0		0		0		0		0		0
BnaA06g24720D		0		0		0		0		0		0
BnaA06g24710D		52		38		45		18		28		59
BnaA06g24700D		433		267		232		169		381		485
BnaA06g24690D		59		22		65		36		43		72
BnaA06g24680D		448		850		483		270		670		1084
BnaA06g24670D		94		91		53		36		47		64
BnaA06g24660D		5		5		5		2		5		7
BnaA06g24650D		849		607		422		306		409		608
BnaA06g24640D		47		41		53		25		67		90
BnaA06g24630D		0		0		0		0		0		0
BnaA06g24620D		87		57		45		32		62		105
BnaA06g24610D		1		0		10		20		4		0
BnaA06g24600D		130		2		66		82		139		176
BnaA06g24590D		79		46		25		13		29		41
BnaA06g24580D		0		0		0		0		0		0
BnaA06g24570D		903		1259		760		689		514		747
BnaA06g24560D		26		28		24		20		20		29
BnaA06g24550D		483		332		412		269		247		251
BnaA06g24540D		21		23		13		8		3		9
BnaA06g24530D		574		509		244		172		126		145
BnaA06g24520D		234		261		150		107		113		125
BnaA06g24510D		5		10		36		34		10		22
BnaA06g24500D		0		1		0		0		0		0
BnaA06g24490D		11		0		2		7		9		10
BnaA06g24480D		3		0		2		0		0		0
BnaA06g24470D		27		14		10		10		10		6
BnaA06g24460D		4		2		5		0		4		4
BnaA06g24450D		19		5		10		9		18		15
BnaA06g24440D		74		99		83		62		53		78
BnaA06g24430D		159		192		75		47		70		59
BnaA06g24420D		83		52		43		28		54		47
BnaA06g24410D		298		391		49		67		208		157
BnaA06g24400D		1		4		3		10		1		5
BnaA06g24390D		431		54		96		55		320		406
BnaA06g24380D		0		0		0		0		0		0
BnaA06g24370D		3		0		0		1		0		0
BnaA06g24360D		589		716		482		315		407		582
BnaA06g24350D		174		337		149		121		77		83
BnaA06g24340D		150		206		85		64		93		107
BnaA06g24330D		167		64		58		28		128		185
BnaA06g24320D		136		40		25		17		44		70
BnaA06g24310D		126		88		93		83		75		103
BnaA06g24300D		1460		3083		1751		1497		2499		2588
BnaA06g24290D		14		9		5		6		6		14
BnaA06g24280D		52		138		32		39		79		68
BnaA06g24270D		2		4		1		0		3		4
BnaA06g24260D		3		0		0		0		0		1
BnaA06g24250D		8		5		1		1		7		6
BnaA06g24240D		0		0		0		0		0		0
BnaA06g24230D		30		57		16		15		16		18
BnaA06g24220D		39		39		27		21		24		50
BnaA06g24210D		365		577		279		207		280		302
BnaA06g24200D		8		11		12		1		29		35
BnaA06g24190D		234		363		536		405		449		492
BnaA06g24180D		103		66		36		26		38		58
BnaA06g24170D		179		120		85		57		137		177
BnaA06g24160D		0		0		0		1		0		0
BnaA06g24150D		1426		844		808		574		651		745
BnaA06g24140D		55		176		20		6		18		17
BnaA06g24130D		12		4		12		13		5		6
BnaA06g24120D		35		16		9		8		21		16
BnaA06g24110D		9		9		2		3		2		5
BnaA06g24100D		40		20		12		17		30		22
BnaA06g24090D		12		51		5		12		13		13
BnaA06g24080D		0		0		0		0		0		0
BnaA06g24070D		0		0		0		0		0		0
BnaA06g24060D		0		0		0		0		0		0
BnaA06g24050D		0		42		28		15		1		0
BnaA06g24040D		55		71		94		56		103		103
BnaA06g24030D		0		0		0		0		0		0
BnaA06g24020D		17		6		5		9		9		13
BnaA06g24010D		4		8		15		17		12		13
BnaA06g24000D		0		3		13		7		0		0
BnaA06g23990D		6		3		2		3		30		28
BnaA06g23980D		0		0		0		0		0		0
BnaA06g23970D		0		1		0		0		0		1
BnaA06g23960D		59		22		81		59		61		94
BnaA06g23950D		14		17		32		17		6		7
BnaA06g23940D		15		27		41		24		7		13
BnaA06g23930D		0		0		0		0		0		0
BnaA06g23920D		0		0		0		0		0		0
BnaA06g23910D		0		0		0		0		0		0
BnaA06g23900D		39		23		17		17		20		26
BnaA06g23890D		56		41		50		43		23		47
BnaA06g23880D		10		0		10		7		4		3
BnaA06g23870D		1214		1460		1021		720		747		845
BnaA06g23860D		0		0		0		0		0		0
BnaA06g23850D		68		55		37		36		31		47
BnaA06g23840D		4		41		4		1		7		4
BnaA06g23830D		1		132		49		43		3		3
BnaA06g23820D		28		121		29		10		12		15
BnaA06g23810D		38		57		68		55		43		56
BnaA06g23800D		818		562		121		147		152		176
BnaA06g23790D		27		42		23		15		34		33
BnaA06g23780D		18		5		25		15		18		15
BnaA06g23770D		74		78		115		86		90		93
BnaA06g23760D		62		72		101		80		88		98
BnaA06g23750D		0		0		1		1		3		0
BnaA06g23740D		3		11		8		10		5		8
BnaA06g23730D		58		288		288		310		76		103
BnaA06g23720D		10		47		4		3		2		1
BnaA06g23710D		0		2		2		0		0		2
BnaA06g23700D		1359		816		401		293		529		701
BnaA06g23690D		0		0		0		0		0		0
BnaA06g23680D		19		35		27		33		34		45
BnaA06g23670D		0		0		0		0		0		0
BnaA06g23660D		1		1		2		1		2		1
BnaA06g23650D		0		0		0		0		0		0
BnaA06g23640D		178		227		406		311		195		308
BnaA06g23630D		7		0		2		2		1		5
BnaA06g23620D		2		1		0		0		1		2
BnaA06g23610D		0		0		3		5		1		3
BnaA06g23600D		60		90		19		20		25		30
BnaC08g10950D		0		0		0		0		0		0
BnaC08g10960D		0		1		4		2		2		4
BnaC08g10970D		0		0		0		0		0		0
BnaC08g10980D		0		0		0		0		0		0
BnaC08g10990D		0		0		0		0		0		0
BnaC08g11000D		0		0		0		0		0		0
BnaC08g11010D		0		0		0		0		0		0
BnaC08g11020D		0		0		0		0		0		0
BnaC08g11030D		0		3		2		0		1		0
BnaC08g11040D		4		6		2		2		3		1
BnaC08g11050D		0		0		0		0		0		0
BnaC08g11060D		835		611		311		259		315		356
BnaC08g11070D		12		60		45		43		14		16
BnaC08g11080D		509		463		449		392		289		371
BnaC08g11090D		0		0		0		0		0		0
BnaC08g11100D		23		28		12		7		9		7
BnaC08g11110D		935		1070		777		978		1137		1271
BnaC08g11120D		290		171		348		276		300		392
BnaC08g11130D		58		72		126		104		95		122
BnaC08g11140D		122		153		136		105		153		144
BnaC08g11150D		3		7		0		0		1		0
BnaC08g11160D		149		155		258		180		194		246
BnaC08g11170D		0		0		0		0		0		0
BnaC08g11180D		10		11		2		4		1		0
BnaC08g11190D		3		1		1		1		0		1
BnaC08g11200D		0		0		0		0		0		0
BnaC08g11210D		0		0		0		0		0		0
BnaC08g11220D		0		0		0		0		0		0
BnaC08g11230D		0		0		0		0		0		0
BnaC08g11240D		7		0		1		0		0		0
BnaC08g11250D		0		1		0		2		0		0
BnaC08g11260D		0		0		0		0		0		0
BnaC08g11270D		8		9		8		4		7		8
BnaC08g11280D		1		0		0		0		1		0
BnaC08g11290D		0		19		1		2		3		2
BnaC08g11300D		10		13		4		2		5		2
BnaC08g11310D		0		6		0		0		0		0
BnaC08g11320D		158		211		126		105		122		148
BnaC08g11330D		0		0		0		0		0		0
BnaC08g11340D		1		1		1		0		0		0
BnaC08g11350D		0		0		2		1		0		0
BnaC08g11360D		28		12		8		9		15		17
BnaC08g11370D		0		0		0		0		0		0
BnaC08g11380D		0		0		0		0		0		0
BnaC08g11390D		0		5		0		1		4		5
BnaC08g11400D		489		187		299		223		264		293
BnaC08g11410D		746		751		492		429		640		655
BnaC08g11420D		0		0		0		0		0		0
BnaC08g11430D		73		56		92		64		66		73
BnaC08g11440D		463		676		526		444		509		578
BnaC08g11450D		79		70		31		25		24		31
BnaC08g11460D		2		1		1		2		3		2
BnaC08g11470D		0		0		0		0		0		0
BnaC08g11480D		0		0		0		0		0		0
BnaC08g11490D		0		0		0		0		0		0
BnaC08g11500D		48		41		21		24		18		31
BnaC08g11510D		2		0		1		1		1		1
BnaC08g11520D		0		0		0		0		0		0
BnaC08g11530D		0		0		0		0		0		0
BnaC08g11540D		0		0		0		0		0		0
BnaC08g11550D		82		56		22		15		23		25
BnaC08g11560D		0		0		0		0		0		0
BnaC08g11570D		0		0		0		0		0		0
BnaC08g11580D		0		0		0		1		0		0
BnaC08g11590D		0		0		0		0		0		0
BnaC08g11600D		1		7		5		4		0		1
BnaC08g11610D		0		0		0		0		0		0
BnaC08g11620D		205		253		94		88		97		119
BnaC08g11630D		1		2		0		0		3		2
BnaC08g11640D		0		2		0		0		0		0
BnaC08g11650D		365		529		258		341		808		819
BnaC08g11660D		38		23		23		34		30		31
BnaC08g11670D		228		170		194		120		183		269
BnaC08g11680D		461		17		197		194		306		287
BnaC08g11690D		8		14		4		4		3		2
